FROM,n_articles,pct_articles,total_reach,mean_reach,actor_category
glasistre.hr,658,3.44,422142,642,""
zagorje.com,641,3.35,1549461,2417,""
index.hr,622,3.25,9042168,14584,""
tportal.hr,588,3.07,1414242,2405,""
novilist.hr,512,2.68,786336,1536,""
jutarnji.hr,509,2.66,4083489,8023,""
slobodnadalmacija.hr,491,2.57,2000454,4083,""
poslovni.hr,478,2.5,1099101,2299,""
direktno.hr,414,2.16,409881,995,""
seebiz.eu,413,2.16,8212,20,""
nacional.hr,408,2.13,518652,1271,""
vecernji.hr,395,2.07,1994910,5182,""
hrt.hr,366,1.91,277695,759,""
dnevno.hr,362,1.89,3311931,9149,""
n1info.com,348,1.82,1923804,5528,""
glas-slavonije.hr,313,1.64,37821,121,""
hnb.hr,308,1.61,388947,1263,""
bloombergadria.com,279,1.46,47169,169,""
24sata.hr,249,1.3,2130930,8558,""
telegram.hr,241,1.26,2296275,9528,""
privredni.hr,231,1.21,42582,184,""
dnevnik.hr,229,1.2,1337406,5840,""
hina.hr,221,1.16,4125,19,""
glas.hr,216,1.13,207,1,""
hrportfolio.hr,205,1.07,21513,105,""
lidermedia.hr,198,1.04,49284,249,""
zakon.hr,197,1.03,92547,470,""
hrvatska-danas.com,193,1.01,165957,860,""
7dnevno.hr,183,0.96,121154,662,""
novine.hr,170,0.89,13192,78,""
n1info.hr,169,0.88,292140,1729,""
prigorski.hr,160,0.84,89652,560,""
dalmatinskiportal.hr,158,0.83,1442913,9132,""
otvoreno.hr,148,0.77,78012,527,""
gov.hr,146,0.76,3433941,23520,""
priznajem.hr,144,0.75,963432,6690,""
rtl.hr,140,0.73,702336,5017,""
novo.hr,136,0.71,57663,424,""
dalmacijadanas.hr,130,0.68,144000,1108,""
antenazadar.hr,129,0.67,144837,1123,""
sibenik.in,117,0.61,90162,771,""
lider.media,112,0.59,35433,316,""
tockanai.hr,104,0.54,11070,106,""
kamenjar.com,97,0.51,99072,1021,""
energypress.net,93,0.49,2178,23,""
kastela.org,92,0.48,50502,549,""
zadarskilist.hr,91,0.48,38331,421,""
Hrvatska narodna banka,87,0.45,165141,1898,""
hia.com.hr,84,0.44,24012,286,""
zagreb.info,80,0.42,122661,1533,""
ogportal.com,77,0.4,29858,388,""
kopriva.info,76,0.4,495,7,""
svijetosiguranja.eu,73,0.38,146,2,""
totalinfo.hr,73,0.38,55356,758,""
